id,key,value,type
4849726458,source,Bing,regular
4849726459,source,Bing,regular
4849726460,source,Bing,regular
4849726461,source,Bing,regular
4849726463,source,Bing,regular
4849726464,source,Bing,regular
4849726465,source,Bing,regular
4849726466,source,Bing,regular
4849726467,source,Bing,regular
4849726468,source,Bing,regular
4849726469,source,Bing,regular
4849726470,source,Bing,regular
4849726471,source,Bing,regular
4849726472,source,Bing,regular
4849726473,source,Bing,regular
4849726474,source,Bing,regular
4849726475,source,Bing,regular
4849726476,source,Bing,regular
4849726477,source,Bing,regular
4849726478,source,Bing,regular
4849726479,source,Bing,regular
4849726480,source,Bing,regular
4849726481,source,Bing,regular
4849726482,source,Bing,regular
4849726483,source,Bing,regular
4849726484,source,Bing,regular
4849726485,source,Bing,regular
4849726486,source,Bing,regular
4849726505,source,Bing,regular
4849726506,source,Bing,regular
4849726507,source,Bing,regular
4849726508,source,Bing,regular
4849726509,source,Bing,regular
4849726510,source,Bing,regular
4849726511,source,Bing,regular
4849726512,source,Bing,regular
4849726513,source,Bing,regular
4849726514,source,Bing,regular
4849726515,source,Bing,regular
4849841275,source,Bing,regular
4849841276,source,Bing,regular
4849841277,source,Bing,regular
4849841278,source,Bing,regular
4849841279,source,Bing,regular
4849841292,source,Bing,regular
4849841293,source,Bing,regular
4849841294,source,Bing,regular
4849841295,source,Bing,regular
4849841296,source,Bing,regular
4849841297,source,Bing,regular
4849841300,source,Bing,regular
4849841301,source,Bing,regular
4849841302,source,Bing,regular
4849841303,source,Bing,regular
4849841304,source,Bing,regular
4849841305,source,Bing,regular
4849841306,source,Bing,regular
4849841307,source,Bing,regular
4849841308,source,Bing,regular
4849841309,source,Bing,regular
4849841310,source,Bing,regular
4849841311,source,Bing,regular
4849841312,source,Bing,regular
4849841313,source,Bing,regular
4849841314,source,Bing,regular
4849841315,source,Bing,regular
4849841316,source,Bing,regular
4849841317,source,Bing,regular
4849841318,source,Bing,regular
4849841319,source,Bing,regular
4849841320,source,Bing,regular
4849841621,source,Bing,regular
4849841622,source,Bing,regular
4849841623,source,Bing,regular
4849841624,source,Bing,regular
4849841625,source,Bing,regular
4849841626,source,Bing,regular
4849841627,source,Bing,regular
